,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
89,h3,18037.31979974537,89,101.75,"[18037.319799699075, 18037.319799699075, 18037.319799641202, 18037.31980008102, 18037.319800555553, 18037.319801354166]",2,3,18037.319799641202
90,h3,18037.31980472222,90,505.12499999999994,"[18037.319804537037, 18037.319804675928, 18037.319804618055, 18037.319805057872, 18037.31980564815, 18037.319802986112]",5,2,18037.319802986112
91,h3,18037.31981076389,91,337.125,"[18037.319810752317, 18037.31981072917, 18037.31981068287, 18037.319811145837, 18037.319810439818, 18037.319809618057]",5,4,18037.319809618057
92,h3,18037.31981633102,92,128.0,"[18037.31981630787, 18037.31981630787, 18037.319816261574, 18037.319816770832, 18037.31981630787, 18037.319817997683]",2,4,18037.319816261574
93,h3,18037.319822048612,93,100.875,"[18037.319822002315, 18037.319822002315, 18037.31982189815, 18037.319822349535, 18037.319822824073, 18037.319823564812]",2,3,18037.31982189815
94,h3,18037.31982795139,94,100.875,"[18037.319827835647, 18037.319827835647, 18037.3198278125, 18037.319828263888, 18037.31982886574, 18037.31982935185]",2,3,18037.3198278125
95,h3,18037.31983443287,95,266.25,"[18037.319833067126, 18037.3198343287, 18037.3198343287, 18037.31983474537, 18037.319833888887, 18037.31983400463]",4,5,18037.319833888887
96,h3,18037.319840694447,96,175.25,"[18037.319840613425, 18037.319840613425, 18037.319840555556, 18037.31984099537, 18037.31984028935, 18037.319842233795]",4,2,18037.31984028935
97,h3,18037.319848078703,97,101.75,"[18037.31984789352, 18037.31984789352, 18037.31984789352, 18037.319848333336, 18037.319848819447, 18037.31984957176]",2,3,18037.31984789352
98,h3,18037.31985741898,98,133.25,"[18037.319857372688, 18037.319857337963, 18037.319857303242, 18037.319857719907, 18037.319857314815, 18037.31985787037]",2,4,18037.319857303242
99,h3,18037.319863738427,99,102.625,"[18037.319863576387, 18037.319863576387, 18037.319863576387, 18037.31986400463, 18037.319864479166, 18037.319865254627]",2,3,18037.319863576387
100,h3,18037.319871805557,100,101.75,"[18037.319871770833, 18037.319871770833, 18037.31987167824, 18037.319872118056, 18037.319872581018, 18037.319873356482]",2,3,18037.31987167824
101,h3,18037.31987931713,101,507.74999999999994,"[18037.319879189814, 18037.319879189814, 18037.319879155093, 18037.319879583334, 18037.319880057872, 18037.319877511574]",5,2,18037.319877511574
102,h3,18037.31988337963,102,102.625,"[18037.319883333334, 18037.319883310185, 18037.31988321759, 18037.319883645832, 18037.31988412037, 18037.31988489583]",2,3,18037.31988321759
103,h3,18037.31988875,103,240.0,"[18037.31988857639, 18037.31988866898, 18037.31988853009, 18037.319888969905, 18037.319889537037, 18037.319888067126]",5,2,18037.319888067126
104,h3,18037.3198975463,104,101.75,"[18037.31989752315, 18037.31989752315, 18037.31989752315, 18037.319897962963, 18037.319898414353, 18037.31989920139]",2,3,18037.31989752315
105,h3,18037.319905277778,105,102.625,"[18037.319905104167, 18037.319905104167, 18037.319905104167, 18037.319905532408, 18037.319906006942, 18037.31990670139]",2,3,18037.319905104167
106,h3,18037.31991246528,106,102.625,"[18037.319911782404, 18037.319912430554, 18037.319911782404, 18037.319912210645, 18037.319912685183, 18037.319913460648]",2,3,18037.319911782404
107,h3,18037.319916805554,107,101.75,"[18037.31991658565, 18037.31991658565, 18037.31991658565, 18037.319917025463, 18037.319917488425, 18037.31991826389]",2,3,18037.31991658565
108,h3,18037.319922743056,108,102.625,"[18037.31992273148, 18037.31992273148, 18037.31992273148, 18037.31992315972, 18037.319923622683, 18037.31992440972]",2,3,18037.31992273148
109,h3,18037.31992797454,109,102.625,"[18037.31992777778, 18037.31992777778, 18037.31992778935, 18037.319928217592, 18037.319928680554, 18037.319929456018]",2,3,18037.31992778935
110,h3,18037.319931747686,110,329.25,"[18037.31993146991, 18037.319930625003, 18037.319931562502, 18037.319931990743, 18037.31993027778, 18037.31993322917]",4,2,18037.31993027778
111,h3,18037.319938807872,111,102.625,"[18037.319938784723, 18037.319938784723, 18037.319938784723, 18037.31993921296, 18037.3199396875, 18037.319940462963]",2,3,18037.319938784723
112,h3,18037.31995351852,112,105.25,"[18037.319953287035, 18037.319953287035, 18037.31995329861, 18037.319953692127, 18037.319954189814, 18037.319954965278]",2,3,18037.31995329861
113,h3,18037.319961759258,113,212.875,"[18037.319960856483, 18037.319960775465, 18037.319961747686, 18037.319962175927, 18037.319960856483, 18037.31996167824]",4,5,18037.319960856483
114,h3,18037.31996832176,114,102.625,"[18037.319968078704, 18037.319968078704, 18037.319968078704, 18037.319968506945, 18037.31996908565, 18037.31996976852]",2,3,18037.319968078704
115,h3,18037.319974502316,115,102.625,"[18037.31997449074, 18037.31997449074, 18037.31997449074, 18037.31997491898, 18037.31997539352, 18037.31997616898]",2,3,18037.31997449074
116,h3,18037.31998434028,116,102.625,"[18037.319984328704, 18037.319984328704, 18037.319984328704, 18037.319984756945, 18037.319985208334, 18037.31998599537]",2,3,18037.319984328704
117,h3,18037.319991377317,117,102.625,"[18037.31999136574, 18037.31999136574, 18037.31999136574, 18037.319991793982, 18037.319992256944, 18037.319993032408]",2,3,18037.31999136574
118,h3,18037.320001932872,118,103.5,"[18037.320001608798, 18037.320001608798, 18037.320001608798, 18037.320002025463, 18037.3200025, 18037.32000327546]",2,3,18037.320001608798
119,h3,18037.32000792824,119,102.625,"[18037.320007916667, 18037.320007916667, 18037.320007916667, 18037.32000834491, 18037.32000880787, 18037.320009583334]",2,3,18037.320007916667
120,h3,18037.32001420139,120,102.625,"[18037.320014189816, 18037.320014189816, 18037.320014189816, 18037.320014618057, 18037.32001508102, 18037.320015856483]",2,3,18037.320014189816
121,h3,18037.320018587965,121,247.875,"[18037.320017511574, 18037.320017407408, 18037.32001855324, 18037.32001724537, 18037.32001667824, 18037.320017627313]",4,3,18037.32001667824
122,h3,18037.320023703705,122,102.625,"[18037.32002366898, 18037.32002366898, 18037.32002366898, 18037.320024097222, 18037.32002454861, 18037.32002508102]",2,3,18037.32002366898
123,h3,18037.320032685184,123,132.375,"[18037.320032592594, 18037.320031643518, 18037.32003247685, 18037.320032905092, 18037.320033391203, 18037.320032488427]",2,5,18037.32003247685
124,h3,18037.32004060185,124,103.5,"[18037.32004059028, 18037.32004059028, 18037.32004059028, 18037.320041006944, 18037.320041481482, 18037.320042256946]",2,3,18037.32004059028
125,h3,18037.320049189817,125,565.5,"[18037.320047604167, 18037.320047719906, 18037.32004914352, 18037.320049409722, 18037.32004986111, 18037.320047245372]",5,2,18037.320047245372
126,h3,18037.320056574074,126,103.5,"[18037.3200565625, 18037.3200565625, 18037.3200565625, 18037.320056979166, 18037.320057453704, 18037.32005820602]",2,3,18037.3200565625
127,h3,18037.320064618056,127,114.875,"[18037.32006327546, 18037.320064479165, 18037.320064479165, 18037.320064745367, 18037.320065219905, 18037.32006599537]",2,3,18037.320064479165
128,h3,18037.32007215278,128,366.0,"[18037.320072141203, 18037.320072141203, 18037.320072141203, 18037.320072511575, 18037.320072534723, 18037.320071122685]",5,2,18037.320071122685
129,h3,18037.32009037037,129,332.75,"[18037.320090046298, 18037.320090324076, 18037.320090011573, 18037.32009045139, 18037.320088703706, 18037.32009167824]",4,2,18037.320088703706
130,h3,18037.320105706018,130,103.5,"[18037.320105694445, 18037.320104386574, 18037.320105694445, 18037.32010611111, 18037.32010658565, 18037.320107349537]",2,3,18037.320105694445
131,h3,18037.320144259258,131,103.5,"[18037.320144247686, 18037.320144247686, 18037.320144247686, 18037.32014466435, 18037.320145173613, 18037.320145902777]",2,3,18037.320144247686
132,h3,18037.320252291665,132,303.0,"[18037.320252233796, 18037.320252280093, 18037.320252233796, 18037.320252662037, 18037.320253217593, 18037.320251493056]",5,2,18037.320251493056
133,h3,18037.32026119213,133,74.625,"[18037.32026070602, 18037.32026070602, 18037.320261180557, 18037.32026158565, 18037.32026209491, 18037.320261446763]",2,5,18037.320261180557
134,h3,18037.32040042824,134,105.25,"[18037.32039934028, 18037.320399664353, 18037.32040041667, 18037.32040081019, 18037.32040096065, 18037.320402048612]",2,3,18037.32040041667
135,h3,18037.32040960648,135,105.25,"[18037.320409594908, 18037.320407743056, 18037.320409594908, 18037.320409988428, 18037.320410462962, 18037.320411238426]",2,3,18037.320409594908
136,h3,18037.32045730324,136,102.625,"[18037.320457280097, 18037.320457280097, 18037.32045725695, 18037.32045768519, 18037.32045814815, 18037.320458923612]",2,3,18037.32045725695
