,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time,first_arrival,second_arrival,dt
48,48,170.0,"[18037.318911724535, 18037.318911724535, 18037.318911724535, 18037.318912187497, 18037.318912638886, 18037.318913425923]",2,3,18037.318911724535,2019-05-21 07:39:13.973000+00:00,2019-05-21 07:39:14.013000+00:00,-0.04
49,49,170.875,"[18037.31891921296, 18037.3189203125, 18037.31892011574, 18037.31892056713, 18037.31892105324, 18037.31892181713]",2,3,18037.31892011574,2019-05-21 07:39:14.698000+00:00,2019-05-21 07:39:14.737000+00:00,-0.039
50,50,170.875,"[18037.318925613425, 18037.31892665509, 18037.318926493055, 18037.318926944445, 18037.318927418983, 18037.318928194443]",2,3,18037.318926493055,2019-05-21 07:39:15.249000+00:00,2019-05-21 07:39:15.288000+00:00,-0.039
51,51,170.875,"[18037.31893274306, 18037.318932500002, 18037.31893274306, 18037.318933194445, 18037.318933668983, 18037.31893443287]",2,3,18037.31893274306,2019-05-21 07:39:15.789000+00:00,2019-05-21 07:39:15.828000+00:00,-0.039
52,52,318.75,"[18037.318935613424, 18037.31893625, 18037.318936226853, 18037.318935833333, 18037.31893525463, 18037.318937962962]",4,3,18037.31893525463,2019-05-21 07:39:16.006000+00:00,2019-05-21 07:39:16.056000+00:00,-0.05
53,53,171.75,"[18037.31894261574, 18037.31894261574, 18037.31894261574, 18037.318943055554, 18037.318943530092, 18037.31894431713]",2,3,18037.31894261574,2019-05-21 07:39:16.642000+00:00,2019-05-21 07:39:16.680000+00:00,-0.038
54,54,170.875,"[18037.318948761575, 18037.318948761575, 18037.318948761575, 18037.31894921296, 18037.3189496875, 18037.318950451387]",2,3,18037.318948761575,2019-05-21 07:39:17.173000+00:00,2019-05-21 07:39:17.212000+00:00,-0.039
55,55,170.0,"[18037.31895162037, 18037.318952905094, 18037.318952905094, 18037.318953368056, 18037.318953819446, 18037.318954606482]",2,3,18037.318952905094,2019-05-21 07:39:17.531000+00:00,2019-05-21 07:39:17.571000+00:00,-0.04
56,56,171.75,"[18037.318957581017, 18037.318957685184, 18037.318957581017, 18037.31895802083, 18037.31895849537, 18037.318959259257]",2,3,18037.318957581017,2019-05-21 07:39:17.935000+00:00,2019-05-21 07:39:17.973000+00:00,-0.038
57,57,170.875,"[18037.318961053243, 18037.318961030094, 18037.318961030094, 18037.318961481484, 18037.31896195602, 18037.318962731482]",2,3,18037.318961030094,2019-05-21 07:39:18.233000+00:00,2019-05-21 07:39:18.272000+00:00,-0.039
